Name,Request Count,Failure Count,Average Response Time,Requests/s,Failures/s,Ramp_Speed,Users,Observation_Time,Failure_Rate
/product/1YMWWN1N4O,63,46,5395.52499790651,0.2733921572524967,0.1996196703748389,2.0,50,240,73.01587301587301
/product/2ZYFJ3GM2N,78,53,5396.17814762814,0.3384855280269008,0.2299965767362274,2.0,50,240,67.94871794871796
/product/66VCHSJNUP,67,48,4568.257121536915,0.2907503894590045,0.2082987864780927,2.0,50,240,71.64179104477611
/product/6E92ZMYYFZ,63,45,4017.6958760465145,0.2733921572524967,0.195280112323212,2.0,50,240,71.42857142857143
/product/9SIQT8TOJO,72,53,3391.6710902926247,0.3124481797171392,0.2299965767362274,2.0,50,240,73.61111111111111
/product/L9ECAV7KIM,77,58,3829.760717806163,0.3341459699752738,0.2516943669943621,2.0,50,240,75.32467532467533
/product/LS4PSXUNUM,62,44,4174.798268676011,0.2690525992008698,0.190940554271585,2.0,50,240,70.96774193548387
/product/OLJCESPC7Z,80,59,3230.141786674176,0.3471646441301546,0.256033925045989,2.0,50,240,73.75
/setCurrency,101,78,8823.242726612583,0.4382953632143202,0.3384855280269008,2.0,50,240,77.22772277227723
Aggregated,1150,836,5375.542004180795,4.990491759370973,3.627870531160116,2.0,50,240,72.69565217391303
/,185,156,5807.530245594625,0.6405799153040689,0.5401646853374851,2.0,50,300,84.32432432432432
/cart,350,329,635.6851620374281,1.2119079478725627,1.139193471000209,2.0,50,300,94.0
/cart,291,280,962.0839437039584,1.0076148938026166,0.9695263582980502,2.0,50,300,96.21993127147766
/cart/checkout,106,101,1007.0209653116214,0.3670349784985476,0.3497220078146538,2.0,50,300,95.28301886792453
/product/0PUK6V6EV0,132,130,254.58652676576148,0.4570624260547951,0.4501372377812376,2.0,50,300,98.48484848484848
/product/1YMWWN1N4O,136,127,785.7298726988066,0.4709128026019101,0.4397494553709014,2.0,50,300,93.38235294117648
/product/2ZYFJ3GM2N,147,137,778.2070855098281,0.5090013381064764,0.4743753967386888,2.0,50,300,93.19727891156462
/product/66VCHSJNUP,165,153,742.2528873640465,0.5713280325684938,0.5297769029271489,2.0,50,300,92.72727272727272
/product/6E92ZMYYFZ,153,142,744.7237889540155,0.5297769029271489,0.4916883674225826,2.0,50,300,92.81045751633988
/product/9SIQT8TOJO,146,137,663.6199344243386,0.5055387439696977,0.4743753967386888,2.0,50,300,93.83561643835615
/product/L9ECAV7KIM,158,150,598.3626421703441,0.5470898736110427,0.5193891205168126,2.0,50,300,94.9367088607595
/product/LS4PSXUNUM,141,137,411.258004212146,0.4882257732858038,0.4743753967386888,2.0,50,300,97.16312056737588
/product/OLJCESPC7Z,128,123,524.3208443677077,0.4432120495076801,0.4258990788237863,2.0,50,300,96.09375
/setCurrency,211,205,1837.3297134175552,0.7306073628603165,0.7098317980396439,2.0,50,300,97.1563981042654
Aggregated,2449,2307,1175.6128901988693,8.479893040971161,7.988204673548578,2.0,50,300,94.20171498570843
/,312,0,6907.491257088943,5.204867368883264,0.0,5.0,250,60,0.0
/cart,130,0,3145.574261900373,2.168694737034693,0.0,5.0,250,60,0.0
/cart,100,0,2709.4439106388018,1.668226720795918,0.0,5.0,250,60,0.0
/cart/checkout,34,0,1535.5954819704707,0.5671970850706121,0.0,5.0,250,60,0.0
/product/0PUK6V6EV0,63,0,3729.22357441377,1.0509828341014282,0.0,5.0,250,60,0.0
/product/1YMWWN1N4O,59,0,3516.3156645936333,0.9842537652695916,0.0,5.0,250,60,0.0
/product/2ZYFJ3GM2N,51,0,2235.696446666421,0.8507956276059182,0.0,5.0,250,60,0.0
/product/66VCHSJNUP,48,0,2435.237026541776,0.8007488259820407,0.0,5.0,250,60,0.0
/product/6E92ZMYYFZ,66,0,2708.0260506964723,1.1010296357253058,0.0,5.0,250,60,0.0
